,Unnamed: 0,location,PM2.5,O3,SO2,tempC,humidity,windspeedKmph,pressure,uvIndex,NO2,PM10,CO
Unnamed: 0,1.0,-4.088929201690089e-18,-0.02877684785458395,-0.04098524446530315,0.10656589636304781,0.38450233787601346,0.045000910409381575,-0.07464101518454365,0.25031952623305936,0.3705826117340903,-0.050814907270696645,0.12533552387384395,0.09812624398172269
location,-4.088929201690089e-18,1.0,0.060189594741030666,0.10322643493990208,0.17948994276459912,0.38875601365851997,-0.2473743394864441,-0.34166271870641246,-0.01120419687479709,0.4017077319486345,0.12060643145712538,0.4950824534478998,0.06614265987313347
PM2.5,-0.02877684785458395,0.060189594741030666,1.0,-0.022830452765805902,0.2750635678839104,0.23598376882105987,0.08259458852797884,-0.172716687327873,0.05231502706951576,0.16645913410716684,0.36207285238728026,0.5604819084508394,0.399518744886795
O3,-0.04098524446530315,0.10322643493990208,-0.022830452765805902,1.0,-0.032134491128816604,0.05592976963188162,-0.3469365693899659,0.15949251957378655,-0.12860451555390215,0.10677267585642744,-0.07085787506752847,0.5904699701587537,-0.11101457962838829
SO2,0.10656589636304781,0.17948994276459912,0.2750635678839104,-0.032134491128816604,1.0,0.26593889788712277,-0.22616023264590504,-0.11493775031298255,0.008914503889167834,0.2237169349551812,0.3665432566226128,0.365286658728422,0.2904300178050678
tempC,0.38450233787601346,0.38875601365851997,0.23598376882105987,0.05592976963188162,0.26593889788712277,1.0,-0.2777243705366596,-0.2126010284386107,0.01968710720899416,0.9350579366682946,0.1543701945633991,0.5131307045183269,0.4000263423089215
humidity,0.045000910409381575,-0.2473743394864441,0.08259458852797884,-0.3469365693899659,-0.22616023264590504,-0.2777243705366596,1.0,0.07903317589417215,-0.034033238771923685,-0.35273746110252213,-0.2577815449285697,-0.3654163310120264,-0.03619641652699179
windspeedKmph,-0.07464101518454365,-0.34166271870641246,-0.172716687327873,0.15949251957378655,-0.11493775031298255,-0.2126010284386107,0.07903317589417215,1.0,-0.27818768985502706,-0.2039657598922493,-0.2968048391854964,-0.326423382269972,-0.23453193375190606
pressure,0.25031952623305936,-0.01120419687479709,0.05231502706951576,-0.12860451555390215,0.008914503889167834,0.01968710720899416,-0.034033238771923685,-0.27818768985502706,1.0,0.06477609304039203,0.09505311558102952,-0.066376793935196,0.0676619272640482
uvIndex,0.3705826117340903,0.4017077319486345,0.16645913410716684,0.10677267585642744,0.2237169349551812,0.9350579366682946,-0.35273746110252213,-0.2039657598922493,0.06477609304039203,1.0,0.12666824335840696,0.5477868573677224,0.36757008934973173
NO2,-0.050814907270696645,0.12060643145712538,0.36207285238728026,-0.07085787506752847,0.3665432566226128,0.1543701945633991,-0.2577815449285697,-0.2968048391854964,0.09505311558102952,0.12666824335840696,1.0,0.23189491157576336,0.49642432659574043
PM10,0.12533552387384395,0.4950824534478998,0.5604819084508394,0.5904699701587537,0.365286658728422,0.5131307045183269,-0.3654163310120264,-0.326423382269972,-0.066376793935196,0.5477868573677224,0.23189491157576336,1.0,0.1632115773021249
CO,0.09812624398172269,0.06614265987313347,0.399518744886795,-0.11101457962838829,0.2904300178050678,0.4000263423089215,-0.03619641652699179,-0.23453193375190606,0.0676619272640482,0.36757008934973173,0.49642432659574043,0.1632115773021249,1.0
