"('New York', 'New York')"
"('Westchester', 'New York')"
"('Nassau', 'New York')"
"('Suffolk', 'New York')"
"('Cook', 'Illinois')"
"('Wayne', 'Michigan')"
"('Los Angeles', 'California')"
"('Bergen', 'New Jersey')"
"('Rockland', 'New York')"
"('King', 'Washington')"
"('Orleans', 'Louisiana')"
"('Essex', 'New Jersey')"
"('Miami-Dade', 'Florida')"
"('Fairfield', 'Connecticut')"
"('Oakland', 'Michigan')"
"('Hudson', 'New Jersey')"
"('Orange', 'New York')"
"('Philadelphia', 'Pennsylvania')"
"('Union', 'New Jersey')"
"('Suffolk', 'Massachusetts')"
"('Middlesex', 'Massachusetts')"
"('Passaic', 'New Jersey')"
"('Middlesex', 'New Jersey')"
"('Jefferson', 'Louisiana')"
"('Snohomish', 'Washington')"
"('Monmouth', 'New Jersey')"
"('Broward', 'Florida')"
"('Ocean', 'New Jersey')"
"('Marion', 'Indiana')"
"('Macomb', 'Michigan')"
"('Clark', 'Nevada')"
"('Santa Clara', 'California')"
"('Morris', 'New Jersey')"
"('Essex', 'Massachusetts')"
"('Maricopa', 'Arizona')"
"('Harris', 'Texas')"
"('Norfolk', 'Massachusetts')"
"('Milwaukee', 'Wisconsin')"
"('San Diego', 'California')"
"('Dallas', 'Texas')"
"('Davidson', 'Tennessee')"
"('Montgomery', 'Pennsylvania')"
"('Fulton', 'Georgia')"
"('New Haven', 'Connecticut')"
"('Orange', 'California')"
"('St. Louis', 'Missouri')"
"('Cuyahoga', 'Ohio')"
"('District of Columbia', 'District of Columbia')"
"('Erie', 'New York')"
"('Palm Beach', 'Florida')"
"('Worcester', 'Massachusetts')"
"('Plymouth', 'Massachusetts')"
"('Dutchess', 'New York')"
"('Denver', 'Colorado')"
"('Shelby', 'Tennessee')"
"('Dougherty', 'Georgia')"
"('Lake', 'Illinois')"
"('Hampden', 'Massachusetts')"
"('Somerset', 'New Jersey')"
"('Hartford', 'Connecticut')"
"('Montgomery', 'Maryland')"
"('Mecklenburg', 'North Carolina')"
"('San Francisco', 'California')"
"(""Prince George's"", 'Maryland')"
"('Washtenaw', 'Michigan')"
"('Salt Lake', 'Utah')"
"('DuPage', 'Illinois')"
"('Orange', 'Florida')"
"('Franklin', 'Ohio')"
"('Delaware', 'Pennsylvania')"
"('San Mateo', 'California')"
"('Pierce', 'Washington')"
"('Lehigh', 'Pennsylvania')"
"('Riverside', 'California')"
"('Bristol', 'Massachusetts')"
"('DeKalb', 'Georgia')"
"('Allegheny', 'Pennsylvania')"
"('Monroe', 'New York')"
"('Arapahoe', 'Colorado')"
"('Mercer', 'New Jersey')"
"('Will', 'Illinois')"
"('Bucks', 'Pennsylvania')"
"('Alameda', 'California')"
"('Northampton', 'Pennsylvania')"
"('Hillsborough', 'Florida')"
"('Jefferson', 'Colorado')"
"('Providence', 'Rhode Island')"
"('Caddo', 'Louisiana')"
"('Cobb', 'Georgia')"
"('Jefferson', 'Alabama')"
"('Camden', 'New Jersey')"
"('Baltimore', 'Maryland')"
"('Fairfax', 'Virginia')"
"('Tarrant', 'Texas')"
"('El Paso', 'Colorado')"
"('Luzerne', 'Pennsylvania')"
"('Monroe', 'Pennsylvania')"
"('Onondaga', 'New York')"
"('St. Tammany', 'Louisiana')"
"('Barnstable', 'Massachusetts')"
"('Burlington', 'New Jersey')"
"('Weld', 'Colorado')"
"('Gwinnett', 'Georgia')"
"('Genesee', 'Michigan')"
"('Contra Costa', 'California')"
"('East Baton Rouge', 'Louisiana')"
"('Travis', 'Texas')"
"('Out of TN', 'Tennessee')"
"('Albany', 'New York')"
"('Blaine', 'Idaho')"
