date_local,O3,NO2,SO2,CO
2020-04-01,0.033214321428571426,6.532197124999998,0.0382906,0.34121825
2020-04-02,0.03995403571428573,3.675572625,0.0007968,0.24761525
2020-04-03,0.03649307142857143,5.18506525,0.0091406,0.2653495
2020-04-04,0.03966021428571428,2.5286795000000004,0.0053235999999999995,0.23309924999999998
2020-04-05,0.03575942857142857,1.47321425,0.000239,0.18655025
2020-04-06,0.03276567857142857,2.45165925,0.0,0.18503175
2020-04-07,0.03343496428571429,2.7955453750000006,0.0,0.18125775000000002
2020-04-08,0.03609185714285714,3.825595250000001,0.0001594,0.21727375000000002
2020-04-09,0.03692835714285714,3.0568181250000004,0.0,0.21265975000000004
2020-04-10,0.036092071428571425,3.7386363749999996,0.0,0.21894724999999998
2020-04-11,0.03847978571428571,3.6607914285714287,0.0,0.26983325
2020-04-12,0.03697717857142858,1.418181714285714,0.0,0.232292
2020-04-13,0.032809571428571424,3.846869875000001,8.36e-05,0.257186
2020-04-14,0.03359460714285714,6.026988750000001,0.00960825,0.34927850000000005
2020-04-15,0.040611035714285704,8.747727124999999,0.0158196,0.37370575
2020-04-16,0.03924157142857143,7.819805125,0.06767039999999999,0.31806725
2020-04-17,0.03339717857142858,4.355388875000001,0.0003188,0.2551865
2020-04-18,0.035303464285714285,2.1333873750000003,0.0027811999999999997,0.22458750000000002
2020-04-19,0.037450821428571424,1.61553025,0.0007968,0.23194875
2020-04-20,0.036628964285714286,3.2909226250000003,0.0001702,0.25153525
2020-04-21,0.033788071428571424,3.5585430000000002,0.0,0.2636005
2020-04-22,0.03643435714285714,7.1832386249999995,0.06779850000000001,0.36815074999999997
2020-04-23,0.04017978571428572,9.385795249999997,0.12167900000000001,0.3701585
2020-04-24,0.04297442857142857,9.057359375000003,0.10151400000000002,0.44038499999999997
2020-04-25,0.042124142857142846,6.238095124999999,0.0971446,0.443401
2020-04-26,0.03742946428571429,5.438852750000001,0.08252699999999999,0.3604925
2020-04-27,0.032091357142857144,5.543323750000001,0.0201025,0.319227
2020-04-28,0.036335714285714284,6.130357125000001,0.01284975,0.336381
2020-04-29,0.03794835714285714,6.183522625000001,0.0094546,0.332218
2020-04-30,0.044634678571428575,5.554247875,0.0030834,0.32198375
2020-05-01,,,,0.25
